,Master,Anchor Master,Non-Master Sync,Non-Master Non-Sync
20,95.0,659.0,0.0,46.0
18,0.0,610.0,0.0,190.0
27,0.25,0.0,0.25,799.5
9,0.25,208.0,0.25,591.5
11,0.25,756.0,0.25,43.5
7,22.0,65.0,0.25,712.75
29,0.25,107.0,0.25,692.5
16,0.25,222.0,0.25,577.5
6,0.0,597.0,0.0,203.0
28,0.0,650.0,0.0,150.0
17,0.0,595.0,0.0,205.0
1,0.25,287.0,0.25,512.5
10,38.0,95.0,0.25,666.75
19,0.25,0.0,0.25,799.5
26,2.25,274.0,0.25,523.5
8,0.25,49.0,0.25,750.5
21,0.25,0.0,0.25,799.5
30,0.0,800.0,0.0,0.0
24,0.25,0.0,0.25,799.5
23,0.25,19.0,0.25,780.5
4,0.5,31.0,0.25,768.25
15,0.5,68.0,0.25,731.25
3,0.5,566.0,0.25,233.25
12,0.25,455.0,0.25,344.5
2,0.25,178.0,0.25,621.5
13,0.0,561.0,0.0,239.0
5,0.25,14.0,0.25,785.5
14,14.0,674.0,0.25,111.75
22,61.0,739.0,0.0,0.0
25,0.25,751.0,0.25,48.5
